text;claimant;claimDate;claimReview_0_publisher_name;claimReview_0_publisher_site;claimReview_0_url;claimReview_0_title;claimReview_0_reviewDate;claimReview_0_textualRating;claimReview_0_languageCode;claimReview_1_publisher_name;claimReview_1_publisher_site;claimReview_1_url;claimReview_1_title;claimReview_1_reviewDate;claimReview_1_textualRating;claimReview_1_languageCode;claimReview_2_publisher_name;claimReview_2_publisher_site;claimReview_2_url;claimReview_2_title;claimReview_2_reviewDate;claimReview_2_textualRating;claimReview_2_languageCode;claimReview_3_publisher_name;claimReview_3_publisher_site;claimReview_3_url;claimReview_3_title;claimReview_3_reviewDate;claimReview_3_textualRating;claimReview_3_languageCode
El coronavirus puede curarse con un recipiente con agua de ajo recién hervida;Redes sociales;2020-03-28T00:00:00Z;Maldita.es;maldita.es;https://maldita.es/malditobulo/2020/02/29/agua-de-ajo-cura-coronavirus-bulo/;No, el coronavirus no se puede curar con agua de ajo hervida: ningún alimento previene o cura el virus;2020-03-29T00:00:00Z;Falso;es;;;;;;;;;;;;;;;;;;;;;
These photographs show the coffins of coronavirus victims;Multiple sources;2020-03-24T00:00:00Z;AFP Fact Check;factcheck.afp.com;https://factcheck.afp.com/these-photos-show-coffins-victims-boat-disaster-2013;These photos show the coffins of victims of a boat disaster in 2013;2020-03-27T16:23:00Z;False;en;;;;;;;;;;;;;;;;;;;;;
Image of fully stocked shelf is from 2009 during the Swine Flu epidemic, while panic buying during novel Coronavirus outbreak leaves shelves empty.;Social Media pages;2020-03-27T15:01:41Z;Boom;boomlive.in;https://www.boomlive.in/world/coronavirus/recent-image-shared-as-being-from-2009s-swine-flu-outbreak-7400;Recent Image Shared As Being From 2009's Swine Flu Outbreak;2020-03-27T15:01:41Z;Misleading;en;;;;;;;;;;;;;;;;;;;;;
Non ci sono prove che cani e animali domestici trasmettano il coronavirus;Sergio Costa;2020-03-26T15:46:51Z;Pagella Politica;pagellapolitica.it;https://pagellapolitica.it/dichiarazioni/8559/non-ci-sono-prove-che-cani-e-animali-domestici-trasmettano-il-coronavirus;Non ci sono prove che cani e animali domestici trasmettano il coronavirus;2020-03-27T15:39:12Z;Vero;it;;;;;;;;;;;;;;;;;;;;;
Une image de l'Italie durant la pandémie du nouveau coronavirus;Farid CH;2020-03-27T00:00:00Z;Factuel;factuel.afp.com;https://factuel.afp.com/ces-cercueils-sont-ceux-de-migrants-morts-en-mediterranee-et-non-ditaliens-decedes-du-nouveau;Ces cercueils sont ceux de migrants morts en Méditerranée et non d’Italiens décédés du nouveau coronavirus;2020-03-27T14:55:00Z;Faux;fr;;;;;;;;;;;;;;;;;;;;;
Livestream shows looting in Mexico caused by coronavirus panic;Multiple sources;2019-03-23T00:00:00Z;AFP Fact Check;factcheck.afp.com;https://factcheck.afp.com/footage-looting-was-filmed-years-pandemic;This footage of looting was filmed years before the pandemic;2020-03-27T14:41:00Z;False;en;;;;;;;;;;;;;;;;;;;;;
Audio en que Secretario de Gestión de Riesgo de Cali habla de coronavirus;;;ColombiaCheck;colombiacheck.com;https://colombiacheck.com/chequeos/audio-sobre-crecimiento-exponencial-de-coronavirus-no-es-de-secretario-de-gestion-del;Audio sobre crecimiento exponencial de coronavirus no es de Secretario de Gestión del Riesgo de Cali;2020-03-27T14:57:34Z;Falso;es;;;;;;;;;;;;;;;;;;;;;
İDDİA: Türkiye’de şehirlerde koronavirüs için helikopterle dezenfektan yapılacak.;WhatsApp;2020-03-26T00:00:00Z;Teyit.org;teyit.org;https://teyit.org/sehirlerin-koronaviruse-karsi-helikopterlerle-dezenfekte-edilecegi-iddiasi/;Şehirlerin koronavirüse karşı helikopterlerle dezenfekte edileceği iddiası;2020-03-27T12:42:19Z;YANLIŞ;tr;;;;;;;;;;;;;;;;;;;;;
Amit Shah tests positive for coronavirus;Social media users;2020-03-27T11:10:00Z;Times of India;timesofindia.indiatimes.com;https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-doctored-tv-headline-says-amit-shah-in-the-grip-of-coronavirus/articleshow/74846179.cms;FAKE ALERT: Doctored TV headline says Amit Shah in the grip of coronavirus;2020-03-27T11:10:00Z;False;en;;;;;;;;;;;;;;;;;;;;;
Nine-day timeline of the symptoms of the novel coronavirus.;Facebook;2020-03-27T09:15:14Z;Boom;boomlive.in;https://www.boomlive.in/world/coronavirus/does-this-infographic-show-the-correct-timeline-of-the-covid-19-symptoms-7394;Does This Infographic Show The Correct Timeline Of the COVID-19 Symptoms?;2020-03-27T09:15:14Z;False;en;;;;;;;;;;;;;;;;;;;;;
Interferon alpha-2b is a vaccine for the new coronavirus.;Mzwandile Masina, mayor of Ekurhuleni;2020-03-18T00:00:00Z;Africa Check;africacheck.org;https://africacheck.org/reports/south-african-mayor-incorrect-that-interferon-alpha-2b-a-covid-19-vaccine/;South African mayor incorrect about Covid-19 'vaccine';2020-03-27T08:46:13Z;Incorrect;en;;;;;;;;;;;;;;;;;;;;;
Drone menembakkan kembang api ke warga Malaysia yang melanggar karantina wilayah akibat virus corona;Berbagai sumber;2020-03-22T00:00:00Z;Periksa Fakta;periksafakta.afp.com;https://periksafakta.afp.com/video-ini-telah-beredar-secara-online-tentang-lelucon-yang-terjadi-di-brazil-pada-tahun-2019;Video ini telah beredar secara online tentang lelucon yang terjadi di Brazil pada tahun 2019;2020-03-27T09:00:00Z;Salah;id;;;;;;;;;;;;;;;;;;;;;
Coronavirus vaccine is ready, able to cure a patient within 3 hours;Facebook users;2020-03-27T06:56:30Z;Boom;boomlive.in;https://www.boomlive.in/fake-news/no-these-photos-and-video-do-not-show-a-vaccine-against-coronavirus-7389;No, These Photos And Video Do Not Show A Vaccine Against Coronavirus;2020-03-27T06:56:30Z;False;en;;;;;;;;;;;;;;;;;;;;;
Video shows a mass grave of Coronavirus victims in Italy and Spain;Social media;2020-03-27T06:17:04Z;Boom;boomlive.in;https://www.boomlive.in/fake-news/scene-from-mini-series-pandemic-peddled-as-coronavirus-mass-grave-7396;Scene From Mini-Series Pandemic Peddled As Coronavirus Mass Grave;2020-03-27T06:17:04Z;False;en;;;;;;;;;;;;;;;;;;;;;
गृह मंत्री अमित शाह कोरोना की चपेट में बताने वाली यह न्यूज हेडलाइन फर्जी है;whatsapp users;2020-03-27T06:15:52Z;Navbharat Times;navbharattimes.indiatimes.com;https://navbharattimes.indiatimes.com/viral-adda/fake-news-buster/doctored-tv-headline-says-amit-shah-is-coronavirus-positive-38561/;गृह मंत्री अमित शाह कोरोना की चपेट में बताने वाली यह न्यूज हेडलाइन फर्जी है;2020-03-27T06:15:52Z;false;hi;;;;;;;;;;;;;;;;;;;;;
Drone shoots fireworks at Malaysians violating coronavirus lockdown;Multiple sources;2020-03-05T00:00:00Z;AFP Fact Check;factcheck.afp.com;https://factcheck.afp.com/video-has-circulated-online-about-prank-staged-brazil-2019;This video has circulated online about a prank staged in Brazil in 2019;2020-03-27T03:55:00Z;False;en;;;;;;;;;;;;;;;;;;;;;
China ha anunció el éxito del suero cubano contra el coronavirus;;;ColombiaCheck;colombiacheck.com;https://colombiacheck.com/chequeos/no-china-no-ha-anunciado-el-exito-del-suero-cubano-contra-el-coronavirus-covid-19;No, China no ha anunciado el éxito del suero cubano contra el coronavirus (Covid- 19);2020-03-27T00:42:14Z;Falso;es;;;;;;;;;;;;;;;;;;;;;
Virus Hanta atau Hantavirus adalah virus baru yang muncul di tengah mewabahnya virus Corona Covid-19;Sejumlah situs dan menyebar di media sosial;2020-03-24T00:00:00Z;Cek Fakta Tempo - Tempo.co;cekfakta.tempo.co;https://cekfakta.tempo.co/fakta/703/fakta-atau-hoaks-benarkah-virus-hanta-adalah-virus-baru-yang-muncul-di-tengah-pandemi-corona;[Fakta atau Hoaks] Benarkah Virus Hanta adalah Virus Baru yang Muncul di Tengah Pandemi Corona?;2020-03-27T00:00:00Z;Keliru;id;;;;;;;;;;;;;;;;;;;;;
Ada bayi yang baru lahir yang menyebut makan telur rebus bisa mengobati infeksi virus Corona Covid-19;Akun-akun Facebook;2020-03-26T00:00:00Z;Cek Fakta Tempo - Tempo.co;cekfakta.tempo.co;https://cekfakta.tempo.co/fakta/704/fakta-atau-hoaks-benarkah-ada-bayi-baru-lahir-yang-sebut-telur-rebus-bisa-obati-corona;[Fakta atau Hoaks] Benarkah Ada Bayi Baru Lahir yang Sebut Telur Rebus Bisa Obati Corona?;2020-03-27T00:00:00Z;Keliru;id;;;;;;;;;;;;;;;;;;;;;
