claims/text,claims/claimReview/0/publisher/name,claims/claimReview/0/publisher/site,claims/claimReview/0/url,claims/claimReview/0/title,claims/claimReview/0/reviewDate,claims/claimReview/0/textualRating,claims/claimReview/0/languageCode,claims/claimant,claims/claimDate
Die großen Supermarktketten in Deutschland öffnen in der Corona-Krise künftig nur noch montags und freitags.,Correctiv,correctiv.org,https://correctiv.org/faktencheck/2020/03/26/gefaelschter-focus-artikel-nein-die-supermaerkte-in-deutschland-schliessen-nicht-an-vier-wochentagen/,"Gefälschter „Focus“-Artikel: Nein, die Supermärkte in Deutschland schließen nicht an vier Wochentagen",2020-03-26T15:57:49Z,Völlig falsch. Der Screenshot ist eine Fälschung. Die Supermärkte in Deutschland haben weiterhin normal geöffnet.,de,,
Asylbewerber wurden während der Corona-Maßnahmen heimlich nach Görlitz gebracht,Correctiv,correctiv.org,https://correctiv.org/faktencheck/2020/03/25/nein-es-wurden-keine-asylbewerber-heimlich-waehrend-der-corona-massnahmen-nach-goerlitz-gebracht/,"Nein, es wurden keine Asylbewerber „heimlich“ während der Corona-Maßnahmen nach Görlitz gebracht",2020-03-25T13:28:24Z,Größtenteils falsch. Am 10. März kamen regulär 23 Asylbewerber aus Erstaufnahmeeinrichtungen nach Görlitz. Laut Landratsamt Görlitz werden regelmäßig Personen auf die Städte aufgeteilt.,de,Görlitz bewegt sich,2020-03-10T00:00:00Z
Alkohol hilft gegen Coronaviren,Correctiv,correctiv.org,https://correctiv.org/faktencheck/2020/04/01/nein-alkohol-zu-trinken-toetet-das-coronavirus-nicht-ab/,,2020-04-01T17:03:41Z,Völlig falsch. Die Meldung ist eine Fälschung. Alkohol hilft nicht gegen Coronaviren im Mund und Rachenraum.,de,Whatsapp-Kettenbrief,
Wegen Coronavirus: in Hongkong zerstören die Menschen die 5G Masten,Correctiv,correctiv.org,https://correctiv.org/faktencheck/2020/04/01/nein-in-hongkong-wurde-kein-5g-mast-wegen-coronavirus-zerstoert-das-video-entstand-vor-der-pandemie/,,2020-04-01T11:14:19Z,Falsch. Das Video entstand im August 2019 in Hongkong. Mit dem Coronavirus hat es nichts zu tun.,de,,
"Frankreichs Regierung hat Mitte März strikte Maßnahmen zur Eindämmung der Corona-Krise ergriffen. Auch Hilfsleistungen wurden angekündigt. Über diese Hilfen gibt es nun Falschinformationen im Netz. So heißt es, Frankreich werde die Zahlungen von Miete, Strom, Wasser und Gas aussetzen. Auch Steuern müssten nicht mehr bezahlt werden, wird in einigen Posts behauptet.",Presseportal,presseportal.de,https://www.presseportal.de/pm/133833/4554009,"Frankreich: Wasser-, Gas- und Mietzahlungen können nur für kleine Unternehmen ausgesetzt werden",2020-03-22T00:00:00Z,"Die genannten Hilfsleistungen sind nicht für Privatpersonen, sondern für die französische Wirtschaft gedacht. Bei kleinen Unternehmen, die durch die Corona-Krise gefährdet sind, können Miet-, Strom-, Wasser- und Gaszahlungen sowie Steuer- und Sozialausgaben ausgesetzt werden.",de,Dirk Schorra,2020-03-18T00:00:00Z
"Deutschland debattiert vor dem Hintergrund des sich ausbreitenden Coronavirus auch über Ausgangssperren, einige Städte haben diese schon verhängt. Nun wurde eine Sprachnachricht über Messengerdienste verbreitet, auch in Chemnitz habe der Stadtrat eine solche Maßnahme für die sächsische Großstadt ab 23. März beschlossen. Die Aufnahme stammt allem Anschein nach vom 19. März.",Presseportal,presseportal.de,https://www.presseportal.de/pm/133833/4553557,Sprachnachricht über Ausgangssperre in Chemnitz ist ein Fake,2020-03-21T00:00:00Z,Es gab gar keine Stadtratssitzung. Die Stadt und auch die angebliche Quelle - die AfD-Stadtratsfraktion - bezeichnen die Aussage als Falschbehauptung.,de,Siegfried Dold,2020-03-20T00:00:00Z
"Deutschland debattiert vor dem Hintergrund des sich ausbreitenden Coronavirus auch über Ausgangssperren, einige Städte haben diese schon verhängt. Nun wurde eine Sprachnachricht über Messengerdienste verbreitet, auch in Chemnitz habe der Stadtrat eine solche Maßnahme für die sächsische Großstadt ab 23. März beschlossen. Die Aufnahme stammt allem Anschein nach vom 19. März.",Presseportal,presseportal.de,https://www.presseportal.de/pm/133833/4553557,Sprachnachricht über Ausgangssperre in Chemnitz ist ein Fake,2020-03-21T00:00:00Z,Es gab gar keine Stadtratssitzung. Die Stadt und auch die angebliche Quelle - die AfD-Stadtratsfraktion - bezeichnen die Aussage als Falschbehauptung.,de,Jochen Jobo Bonitz,2020-03-20T00:00:00Z
Wassertrinken und Gurgeln hilft gegen das Coronavirus,Correctiv,correctiv.org,https://correctiv.org/faktencheck/2020/03/20/wassertrinken-und-gurgeln-halten-das-coronavirus-nicht-auf/,Wassertrinken und Gurgeln halten das Coronavirus nicht auf,2020-03-20T18:31:43Z,Falsch. Wassertrinken und Gurgeln helfen nicht gegen das Coronavirus.,de,Wolfgang Herl,2020-03-16T00:00:00Z
Coronavirus in Italien: Keiner ist gestorben,Correctiv,correctiv.org,https://correctiv.org/faktencheck/2020/03/20/dieses-video-interview-eines-arztes-aus-italien-ist-von-februar-und-enthaelt-veraltete-zahlen/,Dieses Video-Interview eines Arztes aus Italien ist von Februar und enthält veraltete Zahlen,2020-03-20T17:27:08Z,Größtenteils falsch. Das Interview wurde schon Ende Februar aufgezeichnet.,de,Giovanni Alaimo,2020-03-15T00:00:00Z
Corona: Einreisestopps in EU sollen nicht für Asylbewerber gelten,Correctiv,correctiv.org,https://correctiv.org/faktencheck/2020/03/20/coronavirus-ja-asylbewerber-sind-vom-einreisestopp-ausgenommen-sie-sollen-aber-getestet-werden/,"Coronavirus: Ja, Asylbewerber sind vom Einreisestopp ausgenommen – sie sollen aber getestet werden",2020-03-20T16:39:45Z,"Teilweise falsch. Asylbewerber dürfen unter bestimmten Umständen weiter einreisen, sollen aber auch mehrfach gesundheitlich durchgecheckt werden.",de,Philosophia Perennis,2020-03-17T00:00:00Z
