claims_text,claims_claimant,claims_claimDate,claims_claimReview_0_publisher_name,claims_claimReview_0_publisher_site,claims_claimReview_0_url,claims_claimReview_0_reviewDate,claims_claimReview_0_textualRating,claims_claimReview_0_languageCode,claims_claimReview_0_title
5G WiFi networks could be responsible for the rapid spread of the new coronavirus.,Daily Star,2020-03-27T00:00:00Z,Full Fact,fullfact.org,https://fullfact.org/health/5G-not-accelerating-coronavirus/,2020-03-31T00:00:00Z,This is not true. There is no evidence that 5G WiFi networks are linked to the new coronavirus.,en,
"""He [Donald Trump], in addition to that, when we were talking about early on in this crisis, we said — I said, among others, that, you know, you should get into China, get our experts there, we have the best in the world, get them in so we know what’s actually happening. There was no effort to do that. He didn’t put any pressure on Xi.""",Joe Biden,2020-03-27T00:00:00Z,Washington Post,washingtonpost.com,https://www.washingtonpost.com/politics/2020/04/03/how-much-pressure-did-trump-put-china-access-concerning-coronavirus/,,Three Pinocchios,en,Analysis | Did Trump offer experts to China to help with the ...
"The television show ""My Secret Terrius"" predicted the 2020 COVID-19 outbreak.",,,Snopes.com,snopes.com,https://www.snopes.com/fact-check/secret-terrius-predict-covid19/,2020-04-02T16:59:00Z,FALSE,en,Did the TV Show 'My Secret Terrius' Predict Coronavirus?
Drinking warm water is effective for all viruses. Try not to drink liquids with ice.,Facebook user,2020-03-11T00:00:00Z,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-claims-symptoms-prevention-viral/,2020-03-20T00:00:00Z,There’s no evidence that the temperature of liquids consumed can either protect you from or cure diseases caused by viruses.,en,
Wash your hands frequently as the virus can only live on your hands for 5-10 minutes.,Facebook user,2020-03-11T00:00:00Z,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-claims-symptoms-prevention-viral/,2020-03-20T00:00:00Z,"We don’t know how long the virus can last on the skin, especially not down to the minute. But you should regularly wash your hands.",en,
"If the new coronavirus gets into your mouth, drinking water or other liquids will wash them down through the oesophagus. Once they’re in the stomach, the acid will kill the virus. If you don't drink enough water more regularly, the virus can enter your windpipes and into the lungs.",Facebook user,2020-03-11T00:00:00Z,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-claims-symptoms-prevention-viral/,2020-03-20T00:00:00Z,This is incorrect. Drinking water does not prevent an infection.,en,
"The symptoms of Covid-19 are a sore throat lasting 3 or 4 days. The virus then blends into nasal fluid, enters the trachea and then the lungs causing pneumonia. With pneumonia comes high fever and difficulty breathing. The nasal congestion feels like you're drowning",Facebook user,2020-03-11T00:00:00Z,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-claims-symptoms-prevention-viral/,2020-03-20T00:00:00Z,"This is a roughly accurate description of the most common symptoms, although not everyone with Covid-19 gets pneumonia, and the symptoms may not come in this exact order or at these times. The NHS does not mention nasal congestion that ‘feels like drowning’ as a specific symptom for Covid-19.",en,
"To test for the new coronavirus, take a deep breath and hold for more than 10 seconds. If you complete it successfully without coughing, discomfort, stuffiness or tightness it proves there is no fibrosis in the lungs, basically indicating no infection.",Facebook user,2020-03-11T00:00:00Z,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-claims-symptoms-prevention-viral/,2020-03-20T00:00:00Z,There is no evidence to suggest this test can show if you have the new coronavirus.,en,
This new virus is not heat-resistant and will be killed by a temperature of just 26/27 degrees. It hates the Sun.,Facebook user,2020-03-11T00:00:00Z,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-claims-symptoms-prevention-viral/,2020-03-20T00:00:00Z,"There’s no evidence for this. There’s evidence that similar viruses transmit less well in the heat, but many countries with reported Covid-19 cases are experiencing temperatures higher than this.",en,
"If someone with the new coronavirus sneezes, it travels about 10 feet before it drops to the ground and is no longer airborne.",Facebook user,2020-03-11T00:00:00Z,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-claims-symptoms-prevention-viral/,2020-03-20T00:00:00Z,"How far the droplets spread from a sneeze depends on environmental factors, but it is likely to be several metres.",en,
On fabric it can survive for 6-12 hours. normal laundry detergent will kill it.,Facebook user,2020-03-11T00:00:00Z,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-claims-symptoms-prevention-viral/,2020-03-20T00:00:00Z,There’s no evidence yet that the virus can survive in clothing and be transmitted this way. Any soiled clothing should be thoroughly washed.,en,
You should also gargle as a prevention. A simple solution of salt in warm water will suffice.,Facebook user,2020-03-11T00:00:00Z,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-claims-symptoms-prevention-viral/,2020-03-20T00:00:00Z,There’s no evidence that this works as a preventative or a cure for the virus.,en,
If it drops on a metal surface it will live for at least 12 hours - so if you come into contact with any metal surface - wash your hands as soon as you can with a bacterial soap.,Facebook user,2020-03-11T00:00:00Z,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-claims-symptoms-prevention-viral/,2020-03-20T00:00:00Z,We don’t know how long the virus survives on surfaces yet—it may be between hours and days.,en,
Coronavirus pneumonia is a dry cough with no runny nose.,Facebook user,2020-03-11T00:00:00Z,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-claims-symptoms-prevention-viral/,2020-03-20T00:00:00Z,"Some Covid-19 patients do get pneumonia, and one of the symptoms is a dry cough. A runny nose doesn’t rule out Covid-19.",en,
"If you have a runny nose and sputum, you have a common cold, not Covid-19.",Facebook user,2020-03-11T00:00:00Z,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-claims-symptoms-prevention-viral/,2020-03-20T00:00:00Z,"These are the symptoms for the common cold, but they don’t rule out Covid-19.",en,
"Coronavirus has been ""found in crab leg.""",Facebook posts,2020-03-25T00:00:00Z,FactCheck.org,factcheck.org,https://www.factcheck.org/2020/03/coronavirus-hasnt-contaminated-crab-legs/,,FALSE,en,Coronavirus Hasn't Contaminated Crab Legs
