claims/text,claims/claimant,claims/claimDate,claims/claimReview/0/publisher/name,claims/claimReview/0/publisher/site,claims/claimReview/0/url,claims/claimReview/0/title,claims/claimReview/0/reviewDate,claims/claimReview/0/textualRating,claims/claimReview/0/languageCode
Non ci sono prove che cani e animali domestici trasmettano il coronavirus,Sergio Costa,2020-03-26T15:46:51Z,Pagella Politica,pagellapolitica.it,https://pagellapolitica.it/dichiarazioni/8559/non-ci-sono-prove-che-cani-e-animali-domestici-trasmettano-il-coronavirus,Non ci sono prove che cani e animali domestici trasmettano il coronavirus,2020-03-27T15:39:12Z,Vero,it
L’inquinamento ha peggiorato la diffusione del nuovo coronavirus?,Silvio Berlusconi,2020-03-26T02:34:17Z,Pagella Politica,pagellapolitica.it,https://pagellapolitica.it/dichiarazioni/8558/linquinamento-ha-peggiorato-la-diffusione-del-nuovo-coronavirus,L’inquinamento ha peggiorato la diffusione del nuovo coronavirus?,2020-03-26T14:31:32Z,Vero,it
Marattin fa un po’ di confusione sul calo dei contagiati da coronavirus,Luigi Marattin,2020-03-24T04:04:51Z,Pagella Politica,pagellapolitica.it,https://pagellapolitica.it/dichiarazioni/8555/marattin-fa-un-po-di-confusione-sul-calo-dei-contagiati-da-coronavirus,Marattin fa un po’ di confusione sul calo dei contagiati da coronavirus,2020-03-25T13:26:33Z,Nì,it
"I farmaci a base di ibuprofene nei pazienti col coronavirus producono un'accelerazione della malattia, fino alla morte",,2020-03-22T00:00:00Z,Pagella Politica,pagellapolitica.it,https://pagellapolitica.it/bufale/show/1016/notizia-falsa-i-farmaci-a-base-di-ibuprofene-covid-19-e-laccelerazione-della-malattia,"Notizia falsa: i farmaci a base di ibuprofene, Covid-19 e l'accelerazione della malattia",2020-03-23T00:00:00Z,Falso,it
"«Coronavirus, Abidol è un farmaco utilizzato contro i più comuni virus dell'influenza, funziona impedendo al virus di attraversare la membrana delle cellule e di penetrare al loro interno per replicarsi»",Elio Lannutti,2020-03-16T00:00:00Z,Pagella Politica,pagellapolitica.it,https://pagellapolitica.it/dichiarazioni/8552/la-bufala-del-farmaco-contro-il-coronavirus-ripresa-da-un-senatore-del-m5s,"La bufala del farmaco contro il coronavirus, ripresa da un senatore del M5s",2020-03-20T00:00:00Z,Panzana pazzesca,it
L'Arbidol è un farmaco russo che previene e cura il nuovo coronavirus Sars-Cov-2,,2020-03-18T00:00:00Z,Pagella Politica,pagellapolitica.it,https://pagellapolitica.it/bufale/show/1005/no-non-esiste-un-farmaco-russo-che-previene-o-cura-covid-19,"No, non esiste un farmaco russo che previene o cura il Covid-19",2020-03-18T00:00:00Z,Falso,it
Cristiano Ronaldo ha trasformato i suoi alberghi in ospedali gratuiti per la lotta al nuovo coronavirus,,2020-03-15T00:00:00Z,Pagella Politica,pagellapolitica.it,https://pagellapolitica.it/bufale/show/1001/la-bufala-su-cr7-e-gli-hotel-trasformati-in-ospedali,La bufala su CR7 e gli hotel trasformati in ospedali,2020-03-16T00:00:00Z,Falso,it
Che cosa dicono i primi dati sui morti con il coronavirus in Italia,Giuseppe Conte,2020-03-07T23:30:18Z,Pagella Politica,pagellapolitica.it,https://pagellapolitica.it/dichiarazioni/8544/che-cosa-dicono-i-primi-dati-sui-morti-con-il-coronavirus-in-italia,Che cosa dicono i primi dati sui morti con il coronavirus in Italia,2020-03-09T14:31:12Z,Vero,it
"«La banca mi deve dare con la garanzia dello Stato [...] e deve essere fatto con una procedura automatica come in Svizzera, non con la cultura dei moduli»",Matteo Renzi,2020-03-28T00:00:00Z,Pagella Politica,pagellapolitica.it,https://pagellapolitica.it/dichiarazioni/8562/no-la-svizzera-non-da-in-automatico-aiuti-alle-aziende-per-il-coronavirus,,2020-03-30T00:00:00Z,Pinocchio andante,en
Davvero la Ue «non esiste» nel contrasto al nuovo coronavirus?,Giorgia Meloni,2020-02-23T23:53:00Z,Pagella Politica,pagellapolitica.it,https://pagellapolitica.it/dichiarazioni/8534/davvero-la-ue-non-esiste-nel-contrasto-al-nuovo-coronavirus,Davvero la Ue «non esiste» nel contrasto al nuovo coronavirus?,2020-02-24T13:45:07Z,Nì,it
«Tutti devono sapere: Germania padrona dell’Ue. Aiuti a imprese italiane 25 miliardi. Aiuti a imprese tedesche 550 miliardi»,Gianluigi Paragone,2020-03-14T00:00:00Z,Pagella Politica,pagellapolitica.it,https://pagellapolitica.it/dichiarazioni/8549/no-la-germania-per-il-coronavirus-non-mette-22-volte-i-soldi-dellitalia,,2020-03-17T00:00:00Z,Pinocchio andante,en
"«[Per il nuovo coronavirus 2019-nCoV] il periodo di incubazione non è più 15 giorni, ma 24»",Guido Crosetto,2020-02-11T00:00:00Z,Pagella Politica,pagellapolitica.it,https://pagellapolitica.it/dichiarazioni/8525/il-nuovo-coronavirus-ha-un-periodo-di-incubazione-fino-a-24-giorni,Il nuovo coronavirus ha un periodo di incubazione fino a 24 giorni?,2020-02-11T00:00:00Z,Pinocchio andante,it
La strada e il lavoro uccidono molto di più del nuovo coronavirus,Michele Dell'Orco,2020-02-03T11:26:23Z,Pagella Politica,pagellapolitica.it,https://pagellapolitica.it/dichiarazioni/8519/la-strada-e-il-lavoro-uccidono-molto-di-piu-del-nuovo-coronavirus,La strada e il lavoro uccidono molto di più del nuovo coronavirus,2020-02-05T16:22:01Z,C'eri quasi,it
"No, il nuovo coronavirus non è pericoloso «come la peste e il colera»",Matteo Salvini,2020-01-30T09:18:24Z,Pagella Politica,pagellapolitica.it,https://pagellapolitica.it/dichiarazioni/8513/no-il-nuovo-coronavirus-non-e-pericoloso-come-la-peste-e-il-colera,"No, il nuovo coronavirus non è pericoloso «come la peste e il colera»",2020-02-03T15:24:40Z,Nì,it
L’Italia non è stata la prima in Europa a isolare il nuovo coronavirus,Nicola Zingaretti,2020-02-01T23:00:00Z,Pagella Politica,pagellapolitica.it,https://pagellapolitica.it/dichiarazioni/8512/litalia-non-e-stata-la-prima-in-europa-a-isolare-il-nuovo-coronavirus,L’Italia non è stata la prima in Europa a isolare il nuovo coronavirus,2020-02-03T13:03:56Z,Nì,it
